Supplementary Data 3 -Differentially expressed genes in food allergy,,,,,,,,,,,,,,
transcript ID,entrez ID,symbol,chromosome,start,end,biotype,description,log FoldChange (case-control),Average Expression,t statistic,P.Value,adjusted.P.Value,B score,direction
ENSG00000149201,60494,CCDC81,11,86085778,86134151,protein_coding,coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:26281],-0.731243842,-0.413629525,-3.248145182,0.001730313,0.031673589,-1.544137538,down
ENSG00000160471,125965,COX6B2,19,55860674,55866182,protein_coding,cytochrome c oxidase subunit VIb polypeptide 2 (testis) [Source:HGNC Symbol;Acc:24380],-0.730049166,-0.424080096,-3.581326135,0.000600191,0.017102723,-0.826955776,down
ENSG00000197928,342926,ZNF677,19,53731577,53758151,protein_coding,zinc finger protein 677 [Source:HGNC Symbol;Acc:28730],-0.728963142,3.828326633,-4.149358066,8.70E-05,0.005194514,1.306483049,down
ENSG00000109956,27087,B3GAT1,11,134248398,134281812,protein_coding,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) [Source:HGNC Symbol;Acc:921]",-0.724548646,-0.446973455,-3.173372519,0.002175104,0.036214613,-1.743128908,down
ENSG00000105697,57817,HAMP,19,35771619,35776046,protein_coding,hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:15598],-0.722231858,0.413110202,-4.802150785,7.70E-06,0.00108365,2.75316469,down
ENSG00000065308,9697,TRAM2,6,52362200,52441713,protein_coding,translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:16855],-0.713345229,3.993112641,-6.677540483,3.53E-09,6.66E-06,10.67301972,down
ENSG00000123870,NA,ZNF137P,19,53091758,53100660,pseudogene,"zinc finger protein 137, pseudogene [Source:HGNC Symbol;Acc:12921]",-0.71250806,2.317483376,-4.820221487,7.18E-06,0.001042833,3.477688529,down
ENSG00000251046,NA,ZNF969P,4,111337054,111339660,pseudogene,"zinc finger protein 969, pseudogene [Source:HGNC Symbol;Acc:44211]",-0.711298389,0.040233202,-4.443906831,2.96E-05,0.002573756,1.530207522,down
ENSG00000123901,10888,GPR83,11,94110477,94134585,protein_coding,G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:4523],-0.702900465,-0.212735934,-4.104914836,0.000100797,0.005692893,0.537859787,down
ENSG00000245680,92285,ZNF585B,19,37672481,37709055,protein_coding,zinc finger protein 585B [Source:HGNC Symbol;Acc:30948],-0.69942751,4.698607164,-6.982974682,9.44E-10,2.97E-06,12.01365789,down
ENSG00000185518,9899,SV2B,15,91643180,91844539,protein_coding,synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:16874],-0.696831505,-0.582010869,-3.135872211,0.002436466,0.03885471,-1.834014692,down
ENSG00000262943,NA,ALOX12P2,17,6757180,6857426,pseudogene,arachidonate 12-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:432],-0.695984161,0.551704729,-3.445783077,0.000930374,0.021952165,-0.860347689,down
ENSG00000162409,5563,PRKAA2,1,57110995,57181008,protein_coding,"protein kinase, AMP-activated, alpha 2 catalytic subunit [Source:HGNC Symbol;Acc:9377]",-0.692540537,-1.225878184,-3.021366424,0.00342712,0.047121681,-2.138056141,down
ENSG00000185869,374899,ZNF829,19,37379026,37407193,protein_coding,zinc finger protein 829 [Source:HGNC Symbol;Acc:34032],-0.670437506,3.82319755,-6.986878694,9.28E-10,2.97E-06,11.93869434,down
ENSG00000272281,101930578,TPTE2P2,13,52793479,52908412,pseudogene,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 2 [Source:HGNC Symbol;Acc:38076],-0.668958477,-0.085793366,-3.324780423,0.001363966,0.028058733,-1.321522907,down
ENSG00000140022,85439,STON2,14,81727000,81902809,protein_coding,stonin 2 [Source:HGNC Symbol;Acc:30652],-0.668169168,-0.097181514,-3.237365367,0.001788701,0.032382011,-1.490160205,down
ENSG00000213988,7643,ZNF90,19,20188803,20237885,protein_coding,zinc finger protein 90 [Source:HGNC Symbol;Acc:13165],-0.667910866,1.832925212,-3.642684525,0.000490538,0.015094758,-0.200165819,down
ENSG00000261352,7643,ZNF90,HG730_PATCH,20188803,20237885,protein_coding,zinc finger protein 90 [Source:HGNC Symbol;Acc:13165],-0.667855684,1.832981346,-3.642181405,0.000491354,0.015094758,-0.201587767,down
ENSG00000154553,27295,PDLIM3,4,186422851,186456766,protein_coding,PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:20767],-0.66111395,-0.743117505,-3.111342013,0.002622985,0.040496828,-1.911985219,down
ENSG00000204794,NA,PGM5P1,9,68741234,68809906,pseudogene,phosphoglucomutase 5 pseudogene 1 [Source:HGNC Symbol;Acc:28452],-0.660220118,0.23098237,-3.032958376,0.003311991,0.04623921,-1.91813833,down
ENSG00000164855,101927064,TMEM184A,7,1581871,1600457,protein_coding,transmembrane protein 184A [Source:HGNC Symbol;Acc:28797],-0.657687897,0.464383972,-3.751882697,0.000340865,0.011929648,-0.137689372,down
ENSG00000119943,84795,PYROXD2,10,100143322,100174941,protein_coding,pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:HGNC Symbol;Acc:23517],-0.656264363,1.395303557,-4.092084688,0.000105472,0.005842679,0.986302856,down
ENSG00000196437,148266,ZNF569,19,37902057,37960177,protein_coding,zinc finger protein 569 [Source:HGNC Symbol;Acc:24737],-0.655593756,3.514030977,-6.80260402,2.06E-09,4.32E-06,11.1315637,down
ENSG00000254004,339324,ZNF260,19,37001597,37019562,protein_coding,zinc finger protein 260 [Source:HGNC Symbol;Acc:13499],-0.65406036,4.489863215,-6.829719843,1.83E-09,4.32E-06,11.35674756,down
ENSG00000091513,7018,TF,3,133464800,133497850,protein_coding,transferrin [Source:HGNC Symbol;Acc:11740],-0.652021732,0.397783891,-3.4979376,0.000786923,0.020447899,-0.80353263,down
ENSG00000170385,7779,SLC30A1,1,211744910,211752084,protein_coding,"solute carrier family 30 (zinc transporter), member 1 [Source:HGNC Symbol;Acc:11012]",-0.650130935,3.66899358,-3.463099529,0.000887803,0.021534625,-0.803164908,down
ENSG00000261739,653061,GOLGA8S,15,23599895,23612378,protein_coding,"golgin A8 family, member S [Source:HGNC Symbol;Acc:44409]",-0.647307178,0.770917674,-3.208900805,0.001951875,0.033904389,-1.415785634,down
ENSG00000181894,79673,ZNF329,19,58637619,58666477,protein_coding,zinc finger protein 329 [Source:HGNC Symbol;Acc:14209],-0.645199954,4.264229319,-5.645940899,2.70E-07,0.000145674,6.653742833,down
ENSG00000157330,93190,C1orf158,1,12806163,12823847,protein_coding,chromosome 1 open reading frame 158 [Source:HGNC Symbol;Acc:28567],-0.644596928,-0.400205841,-3.48282928,0.000826166,0.020919201,-1.041222287,down
ENSG00000227986,NA,TRIM60P18,7,63815456,63816577,pseudogene,tripartite motif containing 60 pseudogene 18 [Source:HGNC Symbol;Acc:38490],-0.638041984,0.640799295,-4.058682991,0.000118644,0.006376353,0.729620146,down
ENSG00000203896,54923,LIME1,20,62366815,62370456,protein_coding,Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:26016],-0.634130427,3.554840451,-3.24848605,0.001736124,0.031673589,-1.349451659,down
ENSG00000256229,90649,ZNF486,19,20278037,20311299,protein_coding,zinc finger protein 486 [Source:HGNC Symbol;Acc:20807],-0.632360232,3.341885886,-4.738145363,9.83E-06,0.001235203,3.31039864,down
ENSG00000263255,90649,ZNF486,HG730_PATCH,20278037,20311299,protein_coding,zinc finger protein 486 [Source:HGNC Symbol;Acc:20807],-0.632109734,3.341990332,-4.734486435,9.97E-06,0.001235203,3.297639332,down
ENSG00000139679,10161,LPAR6,13,48963707,49018840,protein_coding,lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:15520],-0.626279936,5.249234375,-5.114479445,2.30E-06,0.000504544,4.618095669,down
ENSG00000176928,51301,GCNT4,5,74323289,74326724,protein_coding,"glucosaminyl (N-acetyl) transferase 4, core 2 [Source:HGNC Symbol;Acc:17973]",-0.62525724,3.502644964,-3.894434896,0.00020997,0.008900859,0.546890551,down
ENSG00000143458,126626,GABPB2,1,151043054,151098018,protein_coding,"GA binding protein transcription factor, beta subunit 2 [Source:HGNC Symbol;Acc:28441]",-0.624678201,5.462511287,-6.852201321,1.66E-09,4.32E-06,11.4980442,down
ENSG00000172794,326624,RAB37,17,72666717,72743474,protein_coding,"RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:30268]",-0.624185835,3.218503711,-3.132838768,0.002469565,0.039082113,-1.658466388,down
ENSG00000116574,58480,RHOU,1,228870824,228882416,protein_coding,ras homolog family member U [Source:HGNC Symbol;Acc:17794],-0.618554247,2.923896516,-3.03135322,0.00334229,0.046530599,-1.919175597,down
ENSG00000126945,100529097,HNRNPH2,X,100663283,100669121,protein_coding,heterogeneous nuclear ribonucleoprotein H2 (H') [Source:HGNC Symbol;Acc:5042],-0.616221193,5.007045257,-5.751719675,1.75E-07,0.000110071,7.056991135,down
ENSG00000152454,10172,ZNF256,19,58452201,58459043,protein_coding,zinc finger protein 256 [Source:HGNC Symbol;Acc:13049],-0.615769979,3.355617554,-5.180953478,1.76E-06,0.000414892,4.882040395,down
ENSG00000166432,84460,ZMAT1,X,101137262,101187004,protein_coding,"zinc finger, matrin-type 1 [Source:HGNC Symbol;Acc:29377]",-0.615536577,3.069984026,-3.612344209,0.000542135,0.01616291,-0.282753981,down
ENSG00000100228,9609,RAB36,22,23487513,23506537,protein_coding,"RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:9775]",-0.615077638,-0.661878871,-3.183449436,0.002109477,0.035396819,-1.752121808,down
ENSG00000268642,100529097,HNRNPH2,HG1439_PATCH,100663283,100669121,protein_coding,heterogeneous nuclear ribonucleoprotein H2 (H') [Source:HGNC Symbol;Acc:5042],-0.612378083,5.00450501,-5.754465602,1.73E-07,0.000110071,7.067856085,down
ENSG00000169495,203100,HTRA4,8,38831683,38846181,protein_coding,HtrA serine peptidase 4 [Source:HGNC Symbol;Acc:26909],-0.612204462,0.996475281,-3.273276963,0.001601056,0.030463859,-1.257956233,down
ENSG00000256667,NA,KLRAP1,12,10741077,10752434,pseudogene,killer cell lectin-like receptor subfamily A pseudogene 1 [Source:HGNC Symbol;Acc:6372],-0.610883975,1.936894801,-5.041062097,3.05E-06,0.000587468,4.155926021,down
ENSG00000131914,79727,LIN28A,1,26737269,26756213,protein_coding,lin-28 homolog A (C. elegans) [Source:HGNC Symbol;Acc:15986],-0.605340858,-0.414889265,-3.377640056,0.001155238,0.025058184,-1.271797305,down
ENSG00000258405,147660,ZNF578,19,52956829,53015407,protein_coding,zinc finger protein 578 [Source:HGNC Symbol;Acc:26449],-0.604567062,0.713432217,-3.706473721,0.000396876,0.013146135,-0.187198557,down
ENSG00000135842,116496,FAM129A,1,184759858,184943682,protein_coding,"family with sequence similarity 129, member A [Source:HGNC Symbol;Acc:16784]",-0.604414947,3.731680386,-3.084245417,0.002865579,0.042397082,-1.862724575,down
ENSG00000260644,NA,HERC2P5,16,32752635,32787517,pseudogene,hect domain and RLD 2 pseudogene 5 [Source:HGNC Symbol;Acc:4873],-0.600968072,0.821365171,-4.067666311,0.000114954,0.006245662,0.780444624,down
ENSG00000172828,23491,CES3,16,66995140,67009051,protein_coding,carboxylesterase 3 [Source:HGNC Symbol;Acc:1865],-0.599771588,2.336329935,-4.767934149,8.77E-06,0.001165515,3.323808025,down
ENSG00000136161,1102,RCBTB2,13,49063095,49107369,protein_coding,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2 [Source:HGNC Symbol;Acc:1914],-0.598294988,3.281691829,-3.722328344,0.000376391,0.012770213,0.002510217,down
ENSG00000009765,389434,IYD,6,150690028,150727105,protein_coding,iodotyrosine deiodinase [Source:HGNC Symbol;Acc:21071],-0.594470794,0.893892971,-3.599481368,0.000565532,0.016565813,-0.448426725,down
ENSG00000188171,199777,ZNF626,19,20802867,20844402,protein_coding,zinc finger protein 626 [Source:HGNC Symbol;Acc:30461],-0.593218991,2.771535548,-5.014880228,3.38E-06,0.000637768,4.242955426,down
ENSG00000161551,84765,ZNF577,19,52359055,52394203,protein_coding,zinc finger protein 577 [Source:HGNC Symbol;Acc:28673],-0.59085784,2.95760675,-4.011073275,0.000140182,0.00714703,0.905142789,down
ENSG00000221995,9220,TIAF1,17,27400537,27418537,protein_coding,TGFB1-induced anti-apoptotic factor 1 [Source:HGNC Symbol;Acc:11803],-0.590483258,1.816750176,-3.783858727,0.000306038,0.011176096,0.186477209,down
ENSG00000262249,199777,ZNF626,HG730_PATCH,20730870,20772405,protein_coding,zinc finger protein 626 [Source:HGNC Symbol;Acc:30461],-0.590380422,2.7708294,-5.00954351,3.45E-06,0.000644748,4.224078604,down
ENSG00000177721,389289,ANXA2R,5,43039335,43043272,protein_coding,annexin A2 receptor [Source:HGNC Symbol;Acc:33463],-0.587827625,3.55687512,-3.490443978,0.000806162,0.020686209,-0.650265315,down
ENSG00000213976,NA,CTD-2561J22.2,19,21565667,21569979,pseudogene,,-0.586404818,0.886802403,-3.071122091,0.00295785,0.043023035,-1.737407432,down
ENSG00000186335,153201,SLC36A2,5,150694539,150727151,protein_coding,"solute carrier family 36 (proton/amino acid symporter), member 2 [Source:HGNC Symbol;Acc:18762]",-0.579073791,0.366397359,-3.059271219,0.00306386,0.043951829,-1.852932016,down
ENSG00000153666,101059918,GOLGA8I,15,23255242,23268823,protein_coding,"golgin A8 family, member I [Source:HGNC Symbol;Acc:26660]",-0.578862733,2.945773101,-3.857877447,0.000237985,0.009572173,0.42993714,down
ENSG00000152926,51351,ZNF117,7,64432154,64467062,protein_coding,zinc finger protein 117 [Source:HGNC Symbol;Acc:12897],-0.577653504,2.937680741,-4.679680736,1.23E-05,0.001410981,3.095762751,down
